dataset,noise,budget_fraction,n_seeds,n_pairs,ate_mean,ate_ci95_low,ate_ci95_high,paired_permutation_p,sign_test_p,seed_win_rate,seed_win_rate_ci95_low,seed_win_rate_ci95_high,delta_high_mean,delta_low_mean,permutation_p_holm
CelebA,minority_high_40,0.01,3,30,0.017367142232780682,0.013669821240799076,0.021022404940867902,0.125,0.125,1.0,0.4385029682449546,1.0,0.03429669007715502,0.016929547844374254,0.75
CelebA,uniform20,0.01,3,30,-0.00180511742025937,-0.006209964711176836,0.0028062646856460045,0.875,0.875,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.017203247177543186,0.019008364597802536,1.0
CivilComments,minority_high_40,0.01,3,30,0.022489698546952885,0.021145087833441715,0.023834851442203365,0.125,0.125,1.0,0.4385029682449546,1.0,0.03205378442854039,0.009564085881587456,0.75
CivilComments,uniform20,0.01,3,30,-0.0014155954427863837,-0.004696077009502467,0.0031828531228043724,0.75,0.875,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.008977059172337242,0.010392654615123642,1.0
Waterbirds,minority_high_40,0.01,3,30,0.018115345384549803,0.009188733125648971,0.029444443293200905,0.125,0.125,1.0,0.4385029682449546,1.0,0.03232878131670012,0.014213435932150277,0.75
Waterbirds,uniform20,0.01,3,30,0.016770508826583538,0.011317497403945977,0.022377985462097533,0.125,0.125,1.0,0.4385029682449546,1.0,0.028037383177570045,0.01126687435098648,0.75
