method,label,swapped,original,diff
noise_score,NoiseScore,0.01359201773835918,0.010798122552168585,0.0027938951861905953
noise_score_budget_hybrid_v8,NGC,0.03610765968322382,0.03218231551899205,0.003925344164231771
noise_score_cpba_only,CPBA-only,0.028797576862769445,0.025500825441559415,0.003296751421210029
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.03867231696955877,0.03847063293062836,0.00020168403893041503
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.03210228567876159,0.034897417300426184,-0.002795131621664594
