dataset,noise,method,method_label,n,dWGA_mean,dWGA_sem,dWGA_neg_pct
CelebA,minority_high_40,forgetting,Forgetting,40,0.08,0.0039,0.0
CelebA,minority_high_40,margin,Margin,40,0.004,0.0027,30.0
CelebA,minority_high_40,aum,AUM,40,-0.009,0.0045,50.0
CelebA,minority_high_40,confident_learning,Cleanlab,40,0.004,0.0027,30.0
CelebA,minority_high_40,uncertainty_diversity,Unc+Div-Lite,40,0.0302,0.0038,2.5
CelebA,minority_high_40,badge_lite,BADGE-Lite,40,0.0033,0.0026,32.5
CelebA,minority_high_40,tracin_val_uncertainty,TracIn-CP (val),40,-0.0267,0.0051,82.5
CelebA,minority_high_40,tracin_noise_weighted,TracIn-CP (noise),40,-0.0091,0.0035,52.5
CelebA,minority_high_40,noise_score,NoiseScore,50,0.1017,0.0034,0.0
CelebA,minority_high_40,noise_score_budget_hybrid,BHC,50,0.1,0.0031,0.0
CelebA,minority_high_40,NGC,NGC,50,0.1017,0.0034,0.0
CelebA,minority_high_40,noise_score_cpba_tc,CPBA-TC,50,0.1003,0.004,0.0
CelebA,minority_high_40,CPBA-only,CPBA-only,50,0.1014,0.0041,0.0
CelebA,minority_high_40,noise_score_tc_only,TC-only,50,0.1,0.0031,0.0
CelebA,minority_high_40,CPBA-TC-noFB,CPBA-TC-noFB,50,0.1003,0.004,0.0
CelebA,minority_high_40,CPBA-TC-Guarded,CPBA-TC-Safe,50,0.1003,0.004,0.0
CelebA,minority_high_40,oracle_noise_group_balanced,Oracle-GB,50,0.1141,0.0058,0.0
CivilComments,uniform20,random,Random,50,0.0014,0.0004,44.0
CivilComments,uniform20,loss,Loss,50,0.1115,0.0085,0.0
CivilComments,uniform20,entropy,Entropy,50,0.0097,0.001,10.0
CivilComments,uniform20,forgetting,Forgetting,40,0.0758,0.0074,0.0
CivilComments,uniform20,margin,Margin,40,0.0719,0.0062,0.0
CivilComments,uniform20,aum,AUM,40,0.0606,0.0055,0.0
CivilComments,uniform20,confident_learning,Cleanlab,40,0.0719,0.0062,0.0
CivilComments,uniform20,uncertainty_diversity,Unc+Div-Lite,40,0.0086,0.0007,0.0
CivilComments,uniform20,badge_lite,BADGE-Lite,40,0.0714,0.0063,0.0
CivilComments,uniform20,tracin_val_uncertainty,TracIn-CP (val),40,0.0107,0.0007,0.0
CivilComments,uniform20,tracin_noise_weighted,TracIn-CP (noise),40,0.0444,0.004,0.0
CivilComments,uniform20,noise_score,NoiseScore,50,0.0839,0.0053,0.0
CivilComments,uniform20,noise_score_budget_hybrid,BHC,50,0.083,0.0054,0.0
CivilComments,uniform20,NGC,NGC,50,0.083,0.0054,0.0
CivilComments,uniform20,noise_score_cpba_tc,CPBA-TC,50,0.1212,0.01,0.0
CivilComments,uniform20,CPBA-only,CPBA-only,50,0.1211,0.0099,0.0
CivilComments,uniform20,noise_score_tc_only,TC-only,50,0.0832,0.0054,0.0
CivilComments,uniform20,CPBA-TC-noFB,CPBA-TC-noFB,50,0.1212,0.01,0.0
CivilComments,uniform20,CPBA-TC-Guarded,CPBA-TC-Safe,50,0.1212,0.01,0.0
CivilComments,uniform20,oracle_noise_group_balanced,Oracle-GB,50,0.1308,0.0118,0.0
CivilComments,minority_high_40,random,Random,50,0.004,0.0008,12.0
CivilComments,minority_high_40,loss,Loss,50,0.0644,0.0043,0.0
CivilComments,minority_high_40,entropy,Entropy,50,0.0136,0.0015,0.0
