method,label,noise_name,seed,budget_fraction,dwga_swapped,dwga_original,dwga_diff
noise_score,NoiseScore,minority_high_40,0,0.005,0.0140186915887849,0.014018691588785,-9.8879238130678e-17
noise_score,NoiseScore,minority_high_40,0,0.01,0.0202492211838005,0.0467289719626168,-0.0264797507788163
noise_score,NoiseScore,minority_high_40,0,0.02,0.063647415573561,0.0720227117309406,-0.0083752961573796
noise_score,NoiseScore,minority_high_40,0,0.05,-0.0401219857568159,-0.0215471330584163,-0.0185748526983996
noise_score,NoiseScore,minority_high_40,0,0.1,0.0330487459505011,0.0662577449903641,-0.033208999039863005
noise_score,NoiseScore,minority_high_40,1,0.005,0.0249221183800623,0.0140186915887851,0.0109034267912772
noise_score,NoiseScore,minority_high_40,1,0.01,0.0327102803738317,0.02803738317757,0.004672897196261704
noise_score,NoiseScore,minority_high_40,1,0.02,0.0289470957581283,0.0215913408072059,0.007355754950922399
noise_score,NoiseScore,minority_high_40,1,0.05,-0.0366848332884348,-0.0329541137382486,-0.0037307195501861956
noise_score,NoiseScore,minority_high_40,1,0.1,0.0892575170441594,0.0694849106519952,0.019772606392164202
noise_score,NoiseScore,minority_high_40,2,0.005,-0.0311526479750778,0.0093457943925233,-0.0404984423676011
noise_score,NoiseScore,minority_high_40,2,0.01,0.0171339563862927,-0.043613707165109,0.060747663551401695
noise_score,NoiseScore,minority_high_40,2,0.02,0.0233644859813083,0.0031152647975077,0.020249221183800598
noise_score,NoiseScore,minority_high_40,2,0.05,0.0879934517272105,0.1655752878684266,-0.0775818361412161
noise_score,NoiseScore,minority_high_40,2,0.1,0.1074766355140186,0.1642449109282936,-0.056768275414274996
noise_score,NoiseScore,minority_high_40,3,0.005,0.0031152647975077,0.0093457943925233,-0.0062305295950156
noise_score,NoiseScore,minority_high_40,3,0.01,0.0124610591900311,0.0903426791277258,-0.0778816199376947
noise_score,NoiseScore,minority_high_40,3,0.02,0.0150893480047799,0.099395597184519,-0.0843062491797391
noise_score,NoiseScore,minority_high_40,3,0.05,-0.0243785012191668,0.0763239875389408,-0.10070248875810761
noise_score,NoiseScore,minority_high_40,3,0.1,-0.0101878138577478,0.0654205607476635,-0.07560837460541131
noise_score,NoiseScore,minority_high_40,4,0.005,-0.0482866043613707,0.0186915887850467,-0.0669781931464174
noise_score,NoiseScore,minority_high_40,4,0.01,-0.0404984423676012,0.0295950155763239,-0.0700934579439251
noise_score,NoiseScore,minority_high_40,4,0.02,0.0763239875389408,0.0700934579439252,0.006230529595015605
noise_score,NoiseScore,minority_high_40,4,0.05,0.0346554213205683,0.1339563862928349,-0.0993009649722666
noise_score,NoiseScore,minority_high_40,4,0.1,0.1064957760877524,0.146417445482866,-0.0399216693951136
noise_score,NoiseScore,minority_high_40,5,0.005,0.0015576323987538,0.0155763239875389,-0.014018691588785099
noise_score,NoiseScore,minority_high_40,5,0.01,0.0093457943925233,0.1881412713872253,-0.178795476994702
noise_score,NoiseScore,minority_high_40,5,0.02,0.0249221183800623,0.1183800623052959,-0.0934579439252336
noise_score,NoiseScore,minority_high_40,5,0.05,0.0654205607476635,0.0737288545357841,-0.008308293788120591
noise_score,NoiseScore,minority_high_40,5,0.1,0.0747663551401868,0.0435736438927685,0.0311927112474183
noise_score,NoiseScore,minority_high_40,6,0.005,0.0062305295950155,0.0109034267912772,-0.004672897196261701
noise_score,NoiseScore,minority_high_40,6,0.01,0.0155763239875389,0.0233644859813084,-0.007788161993769501
noise_score,NoiseScore,minority_high_40,6,0.02,-0.0028541627812199,0.0482866043613707,-0.0511407671425906
noise_score,NoiseScore,minority_high_40,6,0.05,-0.0534084865062753,0.073208722741433,-0.1266172092477083
noise_score,NoiseScore,minority_high_40,6,0.1,0.0539085866644563,0.0638629283489096,-0.009954341684453298
noise_score,NoiseScore,minority_high_40,7,0.005,0.0342679127725856,0.0062305295950155,0.028037383177570097
noise_score,NoiseScore,minority_high_40,7,0.01,0.0934579439252336,-0.0716510903426791,0.16510903426791268
noise_score,NoiseScore,minority_high_40,7,0.02,0.1074766355140187,0.0329161227041326,0.0745605128098861
noise_score,NoiseScore,minority_high_40,7,0.05,0.0839740003177432,0.0111866326819597,0.0727873676357835
noise_score,NoiseScore,minority_high_40,7,0.1,0.1141292109607587,0.0453329741453744,0.0687962368153843
