budget_fraction,spectral_delta_risk,spectral_risk_low,spectral_risk_high,spectral_delta_wga,spectral_wga_low,spectral_wga_high,feedback_delta_cvar,feedback_cvar_low,feedback_cvar_high,feedback_delta_wga,feedback_wga_low,feedback_wga_high,feedback_vs_loss,feedback_vs_loss_low,feedback_vs_loss_high,feedback_vs_cpba,feedback_vs_cpba_low,feedback_vs_cpba_high
0.02,-0.08134488292842842,-0.08798047704018108,-0.07470928881667577,-0.02443382987784471,-0.029447799688011794,-0.019419860067677628,-0.018981801210749216,-0.02596026248885991,-0.012003339932638524,0.04800115929523705,0.04254571603065157,0.053456602559822534,-0.054190107401183615,-0.05852677680873097,-0.049853437993636264,-0.06024694966026158,-0.06411758794005995,-0.056376311380463215
0.05,-0.04006434310469832,-0.0564561896235755,-0.023672496585821146,-0.040509230462882836,-0.04598892392024161,-0.03502953700552406,-0.03857690219475953,-0.04852038633694423,-0.028633418052574834,0.08613953877941914,0.08026737784386252,0.09201169971497576,-0.0827354423905896,-0.08943770996730926,-0.07603317481386992,-0.10184846935047856,-0.10874398532289026,-0.09495295337806686
0.1,-0.04006434310469832,-0.0564561896235755,-0.023672496585821146,-0.040509230462882836,-0.04598892392024161,-0.03502953700552406,-0.05036016847832003,-0.05977751442006404,-0.04094282253657602,0.11846948690537809,0.11493880975510272,0.12200016405565346,-0.07130854095126762,-0.07627072974660075,-0.0663463521559345,-0.0940089135676189,-0.09929143191760359,-0.0887263952176342
