dataset,noise,budget_fraction,method,n_absolute_seeds,absolute_delta_wga,absolute_ci_low,absolute_ci_high,n_paired_loss_seeds,delta_wga_vs_loss,paired_ci_low,paired_ci_high
Waterbirds,minority_high_40,0.02,loss,10,-0.0009112322219229002,-0.045555975136511065,0.04373351069266526,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.05,loss,10,0.0032024369521519796,-0.044899165200793734,0.05130403910509769,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.1,loss,10,-0.0282230557224859,-0.11458219155370714,0.05813608010873533,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.005,entropy,10,0.007602489448853669,-0.006587534778473527,0.021792513676180864,10,-0.0008453350463836013,-0.017118901009424668,0.015428230916657466
Waterbirds,minority_high_40,0.01,entropy,10,0.033459187268168294,-0.00986445003026653,0.07678282456660313,10,0.02583563006403212,-0.003355187047359865,0.05502644717542411
Waterbirds,minority_high_40,0.02,entropy,10,0.06638131946315208,0.024434342806189016,0.10832829612011514,10,0.06729255168507499,0.008680557693280806,0.12590454567686918
Waterbirds,minority_high_40,0.05,entropy,10,0.09545295673857326,0.055839772981413675,0.13506614049573284,10,0.09225051978642129,0.0383658204997109,0.14613521907313168
Waterbirds,minority_high_40,0.1,entropy,10,0.13828784770430538,0.09449756862383521,0.18207812678477556,10,0.16651090342679126,0.09189788163095512,0.24112392522262738
Waterbirds,minority_high_40,0.005,stratified_random,10,0.00046728971962614016,-0.004433497838716846,0.005368077277969126,10,-0.00798053477561113,-0.02292594344406789,0.006964873892845632
Waterbirds,minority_high_40,0.01,stratified_random,10,0.0006230529595015101,-0.006189258330505625,0.007435364249508645,10,-0.007000504244634673,-0.04039783856299257,0.026396830073723225
Waterbirds,minority_high_40,0.02,stratified_random,10,0.006356383529850559,-0.007760560468032383,0.020473327527733502,10,0.007267615751773458,-0.032176438485612226,0.04671166998915915
Waterbirds,minority_high_40,0.05,stratified_random,10,0.01972984921013182,0.015160747536066317,0.02429895088419732,10,0.01652741225797984,-0.03132075388347229,0.06437557839943196
Waterbirds,minority_high_40,0.1,stratified_random,10,0.039655386783264565,0.028316441506724743,0.05099433205980439,10,0.06787844250575045,-0.02420419607322359,0.1599610810847245
Waterbirds,minority_high_40,0.005,forgetting,10,0.023646103156018776,-0.006245323659684526,0.05353752997172208,10,0.015198278660781508,-0.01727060434518627,0.04766716166674929
Waterbirds,minority_high_40,0.01,forgetting,10,0.055889093810224375,0.016174840906480532,0.09560334671396822,10,0.0482655366060882,0.0212649742839987,0.0752660989281777
