dataset,noise,budget_fraction,n_seeds,safe_delta_wga_mean,base_delta_wga_mean,difference_mean,difference_ci95_low,difference_ci95_high,difference_one_sided95_low,non_inferior,noninferiority_permutation_p,failure_rate,failure_rate_ci95_low,failure_rate_ci95_high,max_allowed_failure_rate,failure_rate_acceptable,mean_conditional_harm,mean_harm_beyond_epsilon,cvar10_difference,worst_seed,worst_seed_difference,best_seed_difference,noninferiority_p_holm,non_inferior_holm,safety_pass
Waterbirds,uniform20,0.005,5,0.00529595015576322,0.00529595015576322,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
Waterbirds,uniform20,0.01,5,0.018380062305295923,0.018380062305295923,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
Waterbirds,uniform20,0.02,5,0.014694793846833943,0.014694793846833943,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
Waterbirds,uniform20,0.05,5,0.02665409508810466,-0.07656726830649777,0.10322136339460244,0.08669291501751032,0.11982261640798222,0.09015189506185622,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0824833702882482,8,0.0824833702882482,0.1286031042128602,0.9375,False,False
Waterbirds,uniform20,0.1,5,-0.050935339259934584,-0.1620661596590477,0.11113082039911311,0.08576496674057653,0.1348115299334812,0.09073170731707324,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.07184035476718409,6,0.07184035476718409,0.1560975609756097,0.9375,False,False
Waterbirds,minority_high_40,0.005,5,0.01880473299210472,0.01880473299210472,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
Waterbirds,minority_high_40,0.01,5,0.04254401779361888,0.04254401779361888,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
Waterbirds,minority_high_40,0.02,5,0.04837225687465026,0.04837225687465026,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
Waterbirds,minority_high_40,0.05,5,0.03618818686062818,0.0205683458703746,0.01561984099025358,-0.028971962616822423,0.07583148558758315,-0.01931464174454828,False,0.28125,0.2,0.03622410863243014,0.6244653702374747,0.1,False,0.0482866043613707,0.0382866043613707,-0.0482866043613707,6,-0.0482866043613707,0.1263858093126386,1.0,False,False
Waterbirds,minority_high_40,0.1,5,0.1127810127718949,0.05284552845528449,0.0599354843166104,0.0,0.14117716946073458,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,7,0.0,0.2031042128603105,0.9375,False,False
CelebA,uniform20,0.005,5,0.03507938362477436,0.03507938362477436,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
CelebA,uniform20,0.01,5,0.05756059248873828,0.06259428022484455,-0.0050336877361062595,-0.011329205125209357,-1.3630875881161241e-05,-0.009477353273357497,True,0.09375,0.2,0.03622410863243014,0.6244653702374747,0.1,False,0.015772870662460595,0.0057728706624605945,-0.015772870662460595,9,-0.015772870662460595,0.0030864197530863988,0.9375,False,False
CelebA,uniform20,0.02,5,0.060616505043424064,0.07236047824901656,-0.011743973205592517,-0.0214511041009463,-0.0033298282509638595,-0.01982708260310776,False,0.6875,0.6,0.2307242812760128,0.882379225767352,0.1,False,0.018073892329062296,0.008073892329062296,-0.0283911671924289,9,-0.0283911671924289,0.0018109592242084999,1.0,False,False
CelebA,uniform20,0.05,5,0.06860744375640973,0.07772390336358086,-0.009116459607171138,-0.01384377718061558,-0.004402772909607817,-0.013212862354117139,False,0.40625,0.4,0.11762077423264783,0.769275718723987,0.1,False,0.014938790876400397,0.004938790876400397,-0.017259285222832293,6,-0.017259285222832293,-0.003086419753086503,1.0,False,False
CelebA,uniform20,0.1,5,0.0748620685178694,0.0873849489166699,-0.012522880398800479,-0.020098401942075274,-0.00493822292323873,-0.019737508275888917,False,0.6875,0.6,0.2307242812760128,0.882379225767352,0.1,False,0.019377480062139494,0.009377480062139494,-0.026586698861497296,6,-0.026586698861497296,-0.0013273876750918012,1.0,False,False
CelebA,minority_high_40,0.005,5,0.06750788643533122,0.06750788643533122,0.0,0.0,0.0,0.0,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0,5,0.0,0.0,0.9375,False,False
CelebA,minority_high_40,0.01,5,0.08958990536277593,0.10094637223974756,-0.01135646687697164,-0.0126182965299685,-0.010094637223974764,-0.0126182965299685,False,0.90625,0.6,0.2307242812760128,0.882379225767352,0.1,False,0.0126182965299685,0.0026182965299685005,-0.0126182965299685,6,-0.0126182965299685,-0.00946372239747631,1.0,False,False
CelebA,minority_high_40,0.02,5,0.09716088328075703,0.1100342719165011,-0.01287338863574406,-0.0184308914592827,-0.007195155197258255,-0.017799976632784258,False,0.78125,0.6,0.2307242812760128,0.882379225767352,0.1,False,0.017249548882917298,0.007249548882917299,-0.023357479456322897,8,-0.023357479456322897,-0.003154574132492094,1.0,False,False
CelebA,minority_high_40,0.05,5,0.12113564668769713,0.11759161895860104,0.0035440277290961,-0.007422985551271544,0.02082018927444798,-0.006792070724773125,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,-0.00946372239747631,5,-0.00946372239747631,0.037854889589905405,0.9375,False,False
CelebA,minority_high_40,0.1,5,0.12744479495268135,0.12841583258688055,-0.0009710376341991956,-0.009507341200295985,0.004673443159247609,-0.008871752930638317,True,0.0625,0.2,0.03622410863243014,0.6244653702374747,0.1,False,0.0179408290168893,0.0079408290168893,-0.0179408290168893,8,-0.0179408290168893,0.006309148264984216,0.9375,False,False
CivilComments,uniform20,0.005,5,0.035084386644260925,0.03670636370278362,-0.0016219770585227,-0.004266822532329959,0.0010228684152845586,-0.004091473661138318,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,-0.0058449623730547,9,-0.0058449623730547,0.002045736830569099,0.9375,False,False
CivilComments,uniform20,0.01,5,0.061752027471323134,0.055395630890626116,0.0063563965806970185,0.004237597720464678,0.00797837363921972,0.004612405932636814,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.0022649229195586956,7,0.0022649229195586956,0.008475195440929402,0.9375,False,False
CivilComments,uniform20,0.02,5,0.11174106816687365,0.07712427851245704,0.03461678965441662,0.03409074304084166,0.035128223862058924,0.034149192664572225,True,0.03125,0.0,0.0,0.43448246478317476,0.1,False,0.0,0.0,0.033754657704391,8,0.033754657704391,0.035435084386644305,0.9375,False,False
