dataset,noise,budget,method,delta_wga_vs_no_correction,delta_wga_vs_no_correction_ci_low,delta_wga_vs_no_correction_ci_high,delta_wga_vs_loss,delta_wga_vs_loss_ci_low,delta_wga_vs_loss_ci_high,negative_seeds,mean_corrections,mean_loss_corrections
waterbirds,uniform20,0.02,noise_score,0.032763882269238986,0.013409709418510971,0.052118055119967005,0.026887912634436434,-0.0011634483436021373,0.054939273612475005,1,66.9,95.7
waterbirds,minority_high_40,0.02,noise_score_cpba_only,0.10066836590201075,0.056414878731164776,0.14492185307285674,0.09997761982717535,0.04265070559665949,0.1573045340576912,0,60.1,95.2
celeba,uniform20,0.02,noise_score,0.0615141955835962,0.044956909685456486,0.07807148148173591,0.021017512430060614,0.009162468921043778,0.03287255593907745,0,1118.6,3211.7
celeba,minority_high_40,0.02,noise_score,0.10732854305409509,0.09510537216230373,0.11955171394588644,0.0874547260193948,0.07431964082780929,0.10058981121098032,0,1209.7,3217.0
civilcomments,uniform20,0.02,noise_score_cpba_only,0.10824810895549863,0.10371819143592625,0.11277802647507101,0.006056842259077962,0.003040357753245398,0.009073326764910527,0,4784.2,5259.5
civilcomments,minority_high_40,0.02,noise_score_cpba_only,0.07234873129472998,0.06956654842699929,0.07513091416246066,0.00832791151594014,0.005916473423989288,0.010739349607890991,0,4213.2,5013.3
