dataset,noise,budget,budget_fraction,method,method_label,n_seeds,dWGA_mean,dWGA_sem,dWGA_min,dWGA_max,dWGA_neg_pct,noise_precision,minority_query_rate,wga_mean
Waterbirds,uniform20,1.0%,0.01,NGC,NGC,10,0.0136,0.0071,-0.0436,0.0405,10.0,0.4437,0.4333,0.6168
Waterbirds,uniform20,1.0%,0.01,noise_score_cpba_tc,CPBA-TC,10,0.0136,0.0071,-0.0436,0.0405,10.0,0.4437,0.4333,0.6168
Waterbirds,uniform20,1.0%,0.01,CPBA-only,CPBA-only,10,0.0136,0.0071,-0.0436,0.0405,10.0,0.4437,0.4333,0.6168
Waterbirds,uniform20,1.0%,0.01,noise_score_tc_only,TC-only,10,0.0136,0.0071,-0.0436,0.0405,10.0,0.4437,0.4333,0.6168
Waterbirds,uniform20,1.0%,0.01,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0136,0.0071,-0.0436,0.0405,10.0,0.4437,0.4333,0.6168
Waterbirds,uniform20,1.0%,0.01,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0136,0.0071,-0.0436,0.0405,10.0,0.4437,0.4333,0.6168
Waterbirds,uniform20,1.0%,0.01,oracle_noise_group_balanced,Oracle-GB,10,0.0277,0.0072,-0.0343,0.0452,10.0,1.0,0.4917,0.631
Waterbirds,uniform20,2.0%,0.02,random,Random,10,-0.0056,0.0035,-0.028,0.0062,60.0,0.1885,0.051,0.5977
Waterbirds,uniform20,2.0%,0.02,loss,Loss,10,-0.0079,0.0053,-0.0405,0.014,70.0,0.9979,0.0021,0.5954
Waterbirds,uniform20,2.0%,0.02,entropy,Entropy,10,0.0062,0.0103,-0.0623,0.0576,40.0,0.2885,0.3917,0.6095
Waterbirds,uniform20,2.0%,0.02,forgetting,Forgetting,10,0.0086,0.0061,-0.0327,0.0296,20.0,0.4052,0.3021,0.6252
