dataset,noise,budget,budget_fraction,method,method_label,n_seeds,dWGA_mean,dWGA_sem,dWGA_min,dWGA_max,dWGA_neg_pct,noise_precision,minority_query_rate,wga_mean
Waterbirds,minority_high_40,5.0%,0.05,CPBA-only,CPBA-only,10,0.1269,0.0223,0.0421,0.2773,0.0,0.5358,0.3783,0.5836
Waterbirds,minority_high_40,5.0%,0.05,noise_score_tc_only,TC-only,10,0.0456,0.0133,-0.0048,0.1207,10.0,0.3771,0.345,0.5023
Waterbirds,minority_high_40,5.0%,0.05,CPBA-TC-noFB,CPBA-TC-noFB,10,0.1119,0.0212,0.0249,0.2352,0.0,0.5758,0.3304,0.5686
Waterbirds,minority_high_40,5.0%,0.05,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0578,0.0319,-0.0387,0.2352,40.0,0.45,0.3583,0.5145
Waterbirds,minority_high_40,5.0%,0.05,oracle_noise_group_balanced,Oracle-GB,10,0.1766,0.0206,0.0899,0.2804,0.0,1.0,0.3933,0.6333
Waterbirds,minority_high_40,10.0%,0.1,random,Random,10,0.0307,0.0197,-0.0405,0.1791,30.0,0.119,0.0504,0.4874
Waterbirds,minority_high_40,10.0%,0.1,loss,Loss,10,-0.0735,0.0213,-0.1947,0.0202,80.0,0.9117,0.08,0.3832
Waterbirds,minority_high_40,10.0%,0.1,entropy,Entropy,10,0.1399,0.0201,0.0607,0.2523,0.0,0.2071,0.3258,0.5966
Waterbirds,minority_high_40,10.0%,0.1,noise_score,NoiseScore,10,0.0776,0.0134,0.0436,0.1642,0.0,0.2977,0.2863,0.5343
Waterbirds,minority_high_40,10.0%,0.1,noise_score_budget_hybrid,BHC,10,0.0543,0.0116,0.014,0.1163,0.0,0.351,0.2594,0.511
Waterbirds,minority_high_40,10.0%,0.1,NGC,NGC,10,0.0849,0.0133,0.0446,0.1642,0.0,0.3048,0.2869,0.5416
Waterbirds,minority_high_40,10.0%,0.1,noise_score_cpba_tc,CPBA-TC,10,0.112,0.024,0.0446,0.2467,0.0,0.4131,0.2879,0.5687
Waterbirds,minority_high_40,10.0%,0.1,CPBA-only,CPBA-only,10,0.1103,0.0253,0.0218,0.243,0.0,0.5431,0.2925,0.567
Waterbirds,minority_high_40,10.0%,0.1,noise_score_tc_only,TC-only,10,0.0548,0.012,0.014,0.1231,0.0,0.3519,0.2596,0.5115
Waterbirds,minority_high_40,10.0%,0.1,CPBA-TC-noFB,CPBA-TC-noFB,10,0.1248,0.0224,0.0327,0.2467,0.0,0.55,0.2637,0.5815
Waterbirds,minority_high_40,10.0%,0.1,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.112,0.024,0.0446,0.2467,0.0,0.4131,0.2879,0.5687
Waterbirds,minority_high_40,10.0%,0.1,oracle_noise_group_balanced,Oracle-GB,10,0.0827,0.0258,-0.0343,0.215,10.0,1.0,0.2023,0.5394
CelebA,uniform20,0.5%,0.005,random,Random,10,-0.001,0.0011,-0.0072,0.0032,40.0,0.202,0.0123,0.7277
CelebA,uniform20,0.5%,0.005,loss,Loss,10,0.0247,0.0019,0.0175,0.0347,0.0,0.98,0.0509,0.7534
CelebA,uniform20,0.5%,0.005,entropy,Entropy,10,0.0092,0.0033,-0.0063,0.0339,10.0,0.2301,0.1381,0.7379
CelebA,uniform20,0.5%,0.005,forgetting,Forgetting,10,0.0438,0.0041,0.0221,0.0662,0.0,0.613,0.163,0.7403
CelebA,uniform20,0.5%,0.005,margin,Margin,10,0.0235,0.003,0.0063,0.0347,0.0,0.9842,0.0382,0.72
CelebA,uniform20,0.5%,0.005,aum,AUM,10,0.0166,0.0031,0.0,0.0298,0.0,0.9959,0.0101,0.713
CelebA,uniform20,0.5%,0.005,confident_learning,Cleanlab,10,0.0235,0.003,0.0063,0.0347,0.0,0.9842,0.0382,0.72
CelebA,uniform20,0.5%,0.005,uncertainty_diversity,Unc+Div-Lite,10,0.0025,0.0017,-0.0032,0.0095,40.0,0.2542,0.1253,0.6989
CelebA,uniform20,0.5%,0.005,badge_lite,BADGE-Lite,10,0.018,0.0018,0.0063,0.0226,0.0,0.9811,0.0349,0.7145
CelebA,uniform20,0.5%,0.005,tracin_val_uncertainty,TracIn-CP (val),10,0.0033,0.0032,-0.0158,0.0205,20.0,0.9958,0.0031,0.6997
CelebA,uniform20,0.5%,0.005,tracin_noise_weighted,TracIn-CP (noise),10,0.0081,0.0036,-0.0126,0.0247,20.0,0.957,0.0027,0.7045
CelebA,uniform20,0.5%,0.005,noise_score,NoiseScore,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,noise_score_budget_hybrid,BHC,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,NGC,NGC,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,noise_score_cpba_tc,CPBA-TC,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,CPBA-only,CPBA-only,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,noise_score_tc_only,TC-only,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0427,0.0035,0.0315,0.0658,0.0,0.6415,0.1194,0.7714
CelebA,uniform20,0.5%,0.005,oracle_noise_group_balanced,Oracle-GB,10,0.0284,0.0036,0.0072,0.0473,0.0,1.0,0.2506,0.7571
CelebA,uniform20,1.0%,0.01,random,Random,10,0.0,0.0018,-0.0095,0.0095,40.0,0.201,0.0126,0.7287
CelebA,uniform20,1.0%,0.01,loss,Loss,10,0.0335,0.002,0.0252,0.041,0.0,0.9864,0.0352,0.7622
CelebA,uniform20,1.0%,0.01,entropy,Entropy,10,0.0165,0.0031,0.0034,0.0347,0.0,0.2279,0.133,0.7452
CelebA,uniform20,1.0%,0.01,forgetting,Forgetting,10,0.0861,0.0059,0.0473,0.1122,0.0,0.6946,0.1682,0.7826
CelebA,uniform20,1.0%,0.01,margin,Margin,10,0.0324,0.0035,0.0063,0.041,0.0,0.9886,0.0281,0.7288
CelebA,uniform20,1.0%,0.01,aum,AUM,10,0.0253,0.0039,0.0,0.0432,0.0,0.996,0.0085,0.7218
CelebA,uniform20,1.0%,0.01,confident_learning,Cleanlab,10,0.0324,0.0035,0.0063,0.041,0.0,0.9886,0.0281,0.7288
CelebA,uniform20,1.0%,0.01,uncertainty_diversity,Unc+Div-Lite,10,0.0052,0.0063,-0.0473,0.0221,10.0,0.234,0.1354,0.7016
CelebA,uniform20,1.0%,0.01,badge_lite,BADGE-Lite,10,0.0313,0.0039,0.0063,0.0442,0.0,0.9861,0.0304,0.7277
CelebA,uniform20,1.0%,0.01,tracin_val_uncertainty,TracIn-CP (val),10,0.0014,0.0045,-0.0221,0.0221,30.0,0.9962,0.003,0.6979
CelebA,uniform20,1.0%,0.01,tracin_noise_weighted,TracIn-CP (noise),10,0.0131,0.0036,-0.0032,0.0288,10.0,0.9635,0.0017,0.7095
CelebA,uniform20,1.0%,0.01,noise_score,NoiseScore,10,0.0685,0.0043,0.0442,0.088,0.0,0.6564,0.133,0.7972
CelebA,uniform20,1.0%,0.01,noise_score_budget_hybrid,BHC,10,0.0685,0.0043,0.0442,0.088,0.0,0.6564,0.133,0.7972
CelebA,uniform20,1.0%,0.01,NGC,NGC,10,0.0685,0.0043,0.0442,0.088,0.0,0.6564,0.133,0.7972
CelebA,uniform20,1.0%,0.01,noise_score_cpba_tc,CPBA-TC,10,0.0597,0.0031,0.041,0.0757,0.0,0.7972,0.0972,0.7884
CelebA,uniform20,1.0%,0.01,CPBA-only,CPBA-only,10,0.0597,0.0031,0.041,0.0757,0.0,0.7972,0.0972,0.7884
CelebA,uniform20,1.0%,0.01,noise_score_tc_only,TC-only,10,0.0685,0.0043,0.0442,0.088,0.0,0.6564,0.133,0.7972
CelebA,uniform20,1.0%,0.01,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0597,0.0031,0.041,0.0757,0.0,0.7972,0.0972,0.7884
CelebA,uniform20,1.0%,0.01,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0597,0.0031,0.041,0.0757,0.0,0.7972,0.0972,0.7884
CelebA,uniform20,1.0%,0.01,oracle_noise_group_balanced,Oracle-GB,10,0.055,0.0039,0.0381,0.0726,0.0,1.0,0.25,0.7837
CelebA,uniform20,2.0%,0.02,random,Random,10,-0.0003,0.0056,-0.0442,0.0189,40.0,0.2011,0.0131,0.7284
CelebA,uniform20,2.0%,0.02,loss,Loss,10,0.0425,0.0073,0.0049,0.0789,0.0,0.9898,0.0249,0.7712
CelebA,uniform20,2.0%,0.02,entropy,Entropy,10,0.0277,0.0038,0.0063,0.0473,0.0,0.2311,0.1176,0.7564
CelebA,uniform20,2.0%,0.02,forgetting,Forgetting,10,0.104,0.0039,0.0789,0.1199,0.0,0.7051,0.1143,0.8004
CelebA,uniform20,2.0%,0.02,margin,Margin,10,0.045,0.0049,0.0095,0.0599,0.0,0.991,0.0191,0.7415
CelebA,uniform20,2.0%,0.02,aum,AUM,10,0.0311,0.007,-0.0051,0.0576,20.0,0.9961,0.0064,0.7275
CelebA,uniform20,2.0%,0.02,confident_learning,Cleanlab,10,0.045,0.0049,0.0095,0.0599,0.0,0.991,0.0191,0.7415
CelebA,uniform20,2.0%,0.02,uncertainty_diversity,Unc+Div-Lite,10,0.0232,0.0078,-0.041,0.0456,10.0,0.2257,0.1308,0.7196
CelebA,uniform20,2.0%,0.02,badge_lite,BADGE-Lite,10,0.0437,0.0047,0.0095,0.0599,0.0,0.9908,0.0195,0.7401
CelebA,uniform20,2.0%,0.02,tracin_val_uncertainty,TracIn-CP (val),10,0.0032,0.0033,-0.0158,0.0203,30.0,0.9967,0.0026,0.6997
CelebA,uniform20,2.0%,0.02,tracin_noise_weighted,TracIn-CP (noise),10,0.0184,0.0051,-0.0095,0.0456,10.0,0.9632,0.0015,0.7148
CelebA,uniform20,2.0%,0.02,noise_score,NoiseScore,10,0.0784,0.0045,0.0505,0.0972,0.0,0.3889,0.0786,0.8071
CelebA,uniform20,2.0%,0.02,noise_score_budget_hybrid,BHC,10,0.0784,0.0045,0.0505,0.0972,0.0,0.3889,0.0786,0.8071
CelebA,uniform20,2.0%,0.02,NGC,NGC,10,0.0784,0.0045,0.0505,0.0972,0.0,0.3889,0.0786,0.8071
CelebA,uniform20,2.0%,0.02,noise_score_cpba_tc,CPBA-TC,10,0.064,0.0034,0.0442,0.0757,0.0,0.8957,0.0517,0.7927
CelebA,uniform20,2.0%,0.02,CPBA-only,CPBA-only,10,0.064,0.0034,0.0442,0.0757,0.0,0.8957,0.0517,0.7927
CelebA,uniform20,2.0%,0.02,noise_score_tc_only,TC-only,10,0.0784,0.0045,0.0505,0.0972,0.0,0.3889,0.0786,0.8071
CelebA,uniform20,2.0%,0.02,CPBA-TC-noFB,CPBA-TC-noFB,10,0.064,0.0034,0.0442,0.0757,0.0,0.8957,0.0517,0.7927
CelebA,uniform20,2.0%,0.02,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.064,0.0034,0.0442,0.0757,0.0,0.8957,0.0517,0.7927
CelebA,uniform20,2.0%,0.02,oracle_noise_group_balanced,Oracle-GB,10,0.0889,0.0039,0.0741,0.1104,0.0,1.0,0.1352,0.8176
CelebA,uniform20,5.0%,0.05,random,Random,10,-0.0037,0.0053,-0.0442,0.0158,50.0,0.1996,0.0131,0.725
CelebA,uniform20,5.0%,0.05,loss,Loss,10,0.0585,0.0061,0.0284,0.0852,0.0,0.9918,0.0147,0.7872
CelebA,uniform20,5.0%,0.05,entropy,Entropy,10,0.0254,0.0042,0.0095,0.0522,0.0,0.2322,0.0833,0.7541
CelebA,uniform20,5.0%,0.05,forgetting,Forgetting,10,0.1166,0.0068,0.0694,0.1388,0.0,0.8792,0.0487,0.813
CelebA,uniform20,5.0%,0.05,margin,Margin,10,0.0603,0.007,0.0126,0.082,0.0,0.9932,0.0119,0.7568
CelebA,uniform20,5.0%,0.05,aum,AUM,10,0.0476,0.0077,0.0032,0.0694,0.0,0.9961,0.005,0.744
CelebA,uniform20,5.0%,0.05,confident_learning,Cleanlab,10,0.0603,0.007,0.0126,0.082,0.0,0.9932,0.0119,0.7568
CelebA,uniform20,5.0%,0.05,uncertainty_diversity,Unc+Div-Lite,10,0.0378,0.0048,0.0189,0.0662,0.0,0.229,0.0935,0.7343
CelebA,uniform20,5.0%,0.05,badge_lite,BADGE-Lite,10,0.0603,0.007,0.0126,0.082,0.0,0.9932,0.0119,0.7568
CelebA,uniform20,5.0%,0.05,tracin_val_uncertainty,TracIn-CP (val),10,-0.0053,0.0046,-0.0347,0.0095,40.0,0.9965,0.0021,0.6912
CelebA,uniform20,5.0%,0.05,tracin_noise_weighted,TracIn-CP (noise),10,0.0253,0.0054,-0.0063,0.0442,10.0,0.9584,0.0014,0.7218
CelebA,uniform20,5.0%,0.05,noise_score,NoiseScore,10,0.0855,0.0053,0.0536,0.1073,0.0,0.179,0.0363,0.8142
CelebA,uniform20,5.0%,0.05,noise_score_budget_hybrid,BHC,10,0.0835,0.0044,0.0599,0.1009,0.0,0.1704,0.0359,0.8121
CelebA,uniform20,5.0%,0.05,NGC,NGC,10,0.0835,0.0044,0.0599,0.1009,0.0,0.1704,0.0359,0.8121
CelebA,uniform20,5.0%,0.05,noise_score_cpba_tc,CPBA-TC,10,0.0816,0.0063,0.041,0.1041,0.0,0.8854,0.0251,0.8103
CelebA,uniform20,5.0%,0.05,CPBA-only,CPBA-only,10,0.082,0.0056,0.0442,0.1104,0.0,0.9112,0.0257,0.8107
CelebA,uniform20,5.0%,0.05,noise_score_tc_only,TC-only,10,0.0835,0.0044,0.0599,0.1009,0.0,0.1704,0.0359,0.8121
CelebA,uniform20,5.0%,0.05,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0816,0.0063,0.041,0.1041,0.0,0.8854,0.0251,0.8103
CelebA,uniform20,5.0%,0.05,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0816,0.0063,0.041,0.1041,0.0,0.8854,0.0251,0.8103
CelebA,uniform20,5.0%,0.05,oracle_noise_group_balanced,Oracle-GB,10,0.1274,0.0055,0.1009,0.16,0.0,1.0,0.0541,0.8561
CelebA,uniform20,10.0%,0.1,random,Random,10,-0.0032,0.0054,-0.0315,0.0234,60.0,0.1995,0.0128,0.7255
CelebA,uniform20,10.0%,0.1,loss,Loss,10,0.0678,0.0067,0.0284,0.0895,0.0,0.992,0.01,0.7965
CelebA,uniform20,10.0%,0.1,entropy,Entropy,10,0.0137,0.0064,-0.0131,0.0525,30.0,0.2329,0.055,0.7423
CelebA,uniform20,10.0%,0.1,noise_score,NoiseScore,10,0.0942,0.0053,0.0599,0.1136,0.0,0.1029,0.0213,0.8228
CelebA,uniform20,10.0%,0.1,noise_score_budget_hybrid,BHC,10,0.0902,0.0046,0.0631,0.1085,0.0,0.0966,0.0204,0.8189
CelebA,uniform20,10.0%,0.1,NGC,NGC,10,0.0902,0.0046,0.0631,0.1085,0.0,0.0966,0.0204,0.8189
CelebA,uniform20,10.0%,0.1,noise_score_cpba_tc,CPBA-TC,10,0.0926,0.0074,0.0442,0.1216,0.0,0.7426,0.0173,0.8213
CelebA,uniform20,10.0%,0.1,CPBA-only,CPBA-only,10,0.0954,0.0072,0.0536,0.1185,0.0,0.7523,0.0177,0.8241
CelebA,uniform20,10.0%,0.1,noise_score_tc_only,TC-only,10,0.0902,0.0046,0.0631,0.1085,0.0,0.0966,0.0204,0.8189
CelebA,uniform20,10.0%,0.1,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0926,0.0074,0.0442,0.1216,0.0,0.7426,0.0173,0.8213
CelebA,uniform20,10.0%,0.1,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0926,0.0074,0.0442,0.1216,0.0,0.7426,0.0173,0.8213
CelebA,uniform20,10.0%,0.1,oracle_noise_group_balanced,Oracle-GB,10,0.1282,0.006,0.1073,0.1546,0.0,1.0,0.027,0.8569
CelebA,minority_high_40,0.5%,0.005,random,Random,10,0.0022,0.0014,-0.0032,0.0126,10.0,0.1069,0.0123,0.671
CelebA,minority_high_40,0.5%,0.005,loss,Loss,10,0.006,0.002,-0.0032,0.0189,10.0,0.9844,0.0184,0.6748
CelebA,minority_high_40,0.5%,0.005,entropy,Entropy,10,0.0132,0.001,0.0063,0.0158,0.0,0.1657,0.192,0.682
CelebA,minority_high_40,0.5%,0.005,forgetting,Forgetting,10,0.0454,0.0025,0.0315,0.0536,0.0,0.7436,0.3355,0.6666
CelebA,minority_high_40,0.5%,0.005,margin,Margin,10,0.005,0.0037,-0.0126,0.0315,20.0,0.9883,0.0087,0.6262
CelebA,minority_high_40,0.5%,0.005,aum,AUM,10,0.0019,0.0045,-0.0126,0.0315,50.0,0.9972,0.001,0.623
CelebA,minority_high_40,0.5%,0.005,confident_learning,Cleanlab,10,0.005,0.0037,-0.0126,0.0315,20.0,0.9883,0.0087,0.6262
CelebA,minority_high_40,0.5%,0.005,uncertainty_diversity,Unc+Div-Lite,10,0.0063,0.0022,-0.0063,0.0158,10.0,0.1785,0.21,0.6274
CelebA,minority_high_40,0.5%,0.005,badge_lite,BADGE-Lite,10,0.0032,0.0032,-0.0095,0.0189,40.0,0.9806,0.0161,0.6243
CelebA,minority_high_40,0.5%,0.005,tracin_val_uncertainty,TracIn-CP (val),10,-0.005,0.0032,-0.0221,0.0158,70.0,0.9955,0.0033,0.6161
CelebA,minority_high_40,0.5%,0.005,tracin_noise_weighted,TracIn-CP (noise),10,0.0025,0.0029,-0.0126,0.0189,30.0,0.9241,0.0023,0.6237
CelebA,minority_high_40,0.5%,0.005,noise_score,NoiseScore,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,noise_score_budget_hybrid,BHC,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,NGC,NGC,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,noise_score_cpba_tc,CPBA-TC,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,CPBA-only,CPBA-only,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,noise_score_tc_only,TC-only,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0618,0.0029,0.0505,0.0789,0.0,0.7414,0.4287,0.7305
CelebA,minority_high_40,0.5%,0.005,oracle_noise_group_balanced,Oracle-GB,10,0.0538,0.0029,0.043,0.0757,0.0,1.0,0.2506,0.7226
CelebA,minority_high_40,1.0%,0.01,random,Random,10,0.0041,0.0016,-0.0032,0.0158,10.0,0.1041,0.0126,0.6729
CelebA,minority_high_40,1.0%,0.01,loss,Loss,10,0.012,0.0031,0.0032,0.0284,0.0,0.9883,0.0143,0.6808
CelebA,minority_high_40,1.0%,0.01,entropy,Entropy,10,0.0282,0.0021,0.0189,0.041,0.0,0.1677,0.1916,0.697
CelebA,minority_high_40,1.0%,0.01,forgetting,Forgetting,10,0.0851,0.004,0.0694,0.1069,0.0,0.6967,0.3649,0.7063
CelebA,minority_high_40,1.0%,0.01,margin,Margin,10,0.0107,0.0037,-0.0032,0.0347,10.0,0.9908,0.0075,0.6319
CelebA,minority_high_40,1.0%,0.01,aum,AUM,10,0.0082,0.0043,-0.0126,0.0315,10.0,0.9971,0.0012,0.6293
CelebA,minority_high_40,1.0%,0.01,confident_learning,Cleanlab,10,0.0107,0.0037,-0.0032,0.0347,10.0,0.9908,0.0075,0.6319
CelebA,minority_high_40,1.0%,0.01,uncertainty_diversity,Unc+Div-Lite,10,0.0164,0.0031,0.0032,0.0315,0.0,0.168,0.1927,0.6375
CelebA,minority_high_40,1.0%,0.01,badge_lite,BADGE-Lite,10,0.0107,0.0039,0.0,0.0379,0.0,0.9878,0.0106,0.6319
CelebA,minority_high_40,1.0%,0.01,tracin_val_uncertainty,TracIn-CP (val),10,-0.0076,0.0032,-0.0221,0.0032,60.0,0.9966,0.0026,0.6136
CelebA,minority_high_40,1.0%,0.01,tracin_noise_weighted,TracIn-CP (noise),10,0.0044,0.0031,-0.0063,0.0252,30.0,0.949,0.0013,0.6256
CelebA,minority_high_40,1.0%,0.01,noise_score,NoiseScore,10,0.1007,0.0028,0.0915,0.1199,0.0,0.6919,0.3701,0.7695
CelebA,minority_high_40,1.0%,0.01,noise_score_budget_hybrid,BHC,10,0.1007,0.0028,0.0915,0.1199,0.0,0.6919,0.3701,0.7695
CelebA,minority_high_40,1.0%,0.01,NGC,NGC,10,0.1007,0.0028,0.0915,0.1199,0.0,0.6919,0.3701,0.7695
CelebA,minority_high_40,1.0%,0.01,noise_score_cpba_tc,CPBA-TC,10,0.0881,0.0026,0.0789,0.1073,0.0,0.8413,0.3214,0.7569
CelebA,minority_high_40,1.0%,0.01,CPBA-only,CPBA-only,10,0.0881,0.0026,0.0789,0.1073,0.0,0.8413,0.3214,0.7569
CelebA,minority_high_40,1.0%,0.01,noise_score_tc_only,TC-only,10,0.1007,0.0028,0.0915,0.1199,0.0,0.6919,0.3701,0.7695
CelebA,minority_high_40,1.0%,0.01,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0881,0.0026,0.0789,0.1073,0.0,0.8413,0.3214,0.7569
CelebA,minority_high_40,1.0%,0.01,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0881,0.0026,0.0789,0.1073,0.0,0.8413,0.3214,0.7569
CelebA,minority_high_40,1.0%,0.01,oracle_noise_group_balanced,Oracle-GB,10,0.0885,0.0039,0.0694,0.1073,0.0,1.0,0.25,0.7572
CelebA,minority_high_40,2.0%,0.02,random,Random,10,0.0057,0.0026,-0.0032,0.0252,10.0,0.1029,0.0131,0.6744
CelebA,minority_high_40,2.0%,0.02,loss,Loss,10,0.0054,0.0062,-0.0284,0.0442,40.0,0.9892,0.0116,0.6741
CelebA,minority_high_40,2.0%,0.02,entropy,Entropy,10,0.0448,0.0043,0.0221,0.0662,0.0,0.166,0.1808,0.7136
CelebA,minority_high_40,2.0%,0.02,forgetting,Forgetting,10,0.0978,0.0061,0.0726,0.1296,0.0,0.7997,0.1905,0.719
CelebA,minority_high_40,2.0%,0.02,margin,Margin,10,0.012,0.0049,-0.0158,0.0379,20.0,0.9924,0.0062,0.6331
CelebA,minority_high_40,2.0%,0.02,aum,AUM,10,0.0035,0.0052,-0.0221,0.0284,40.0,0.9965,0.0014,0.6246
CelebA,minority_high_40,2.0%,0.02,confident_learning,Cleanlab,10,0.012,0.0049,-0.0158,0.0379,20.0,0.9924,0.0062,0.6331
CelebA,minority_high_40,2.0%,0.02,uncertainty_diversity,Unc+Div-Lite,10,0.0347,0.0029,0.0221,0.0473,0.0,0.1612,0.1783,0.6558
CelebA,minority_high_40,2.0%,0.02,badge_lite,BADGE-Lite,10,0.011,0.0043,-0.0095,0.0379,20.0,0.9919,0.0069,0.6322
CelebA,minority_high_40,2.0%,0.02,tracin_val_uncertainty,TracIn-CP (val),10,-0.017,0.003,-0.0315,-0.0032,100.0,0.9961,0.0029,0.6041
CelebA,minority_high_40,2.0%,0.02,tracin_noise_weighted,TracIn-CP (noise),10,-0.0019,0.0033,-0.0126,0.0158,50.0,0.9587,0.001,0.6192
CelebA,minority_high_40,2.0%,0.02,noise_score,NoiseScore,10,0.1081,0.0029,0.0946,0.1199,0.0,0.3981,0.2129,0.7769
CelebA,minority_high_40,2.0%,0.02,noise_score_budget_hybrid,BHC,10,0.1081,0.0029,0.0946,0.1199,0.0,0.3981,0.2129,0.7769
CelebA,minority_high_40,2.0%,0.02,NGC,NGC,10,0.1081,0.0029,0.0946,0.1199,0.0,0.3981,0.2129,0.7769
CelebA,minority_high_40,2.0%,0.02,noise_score_cpba_tc,CPBA-TC,10,0.0997,0.0054,0.0726,0.1262,0.0,0.8961,0.169,0.7685
CelebA,minority_high_40,2.0%,0.02,CPBA-only,CPBA-only,10,0.0997,0.0054,0.0726,0.1262,0.0,0.8961,0.169,0.7685
CelebA,minority_high_40,2.0%,0.02,noise_score_tc_only,TC-only,10,0.1081,0.0029,0.0946,0.1199,0.0,0.3981,0.2129,0.7769
CelebA,minority_high_40,2.0%,0.02,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0997,0.0054,0.0726,0.1262,0.0,0.8961,0.169,0.7685
CelebA,minority_high_40,2.0%,0.02,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0997,0.0054,0.0726,0.1262,0.0,0.8961,0.169,0.7685
CelebA,minority_high_40,2.0%,0.02,oracle_noise_group_balanced,Oracle-GB,10,0.1465,0.0049,0.1293,0.1703,0.0,1.0,0.2506,0.8153
CelebA,minority_high_40,5.0%,0.05,random,Random,10,0.0101,0.0035,-0.0095,0.0252,10.0,0.1029,0.0131,0.6789
CelebA,minority_high_40,5.0%,0.05,loss,Loss,10,0.0151,0.0053,-0.0126,0.0473,10.0,0.9886,0.0095,0.6839
CelebA,minority_high_40,5.0%,0.05,entropy,Entropy,10,0.0723,0.0043,0.0536,0.0946,0.0,0.157,0.1374,0.7411
CelebA,minority_high_40,5.0%,0.05,forgetting,Forgetting,10,0.0915,0.0041,0.0726,0.1136,0.0,0.9162,0.0772,0.7126
CelebA,minority_high_40,5.0%,0.05,margin,Margin,10,-0.0117,0.0056,-0.0379,0.0126,70.0,0.9913,0.0064,0.6095
CelebA,minority_high_40,5.0%,0.05,aum,AUM,10,-0.0495,0.0065,-0.0757,-0.0095,100.0,0.9938,0.0022,0.5716
CelebA,minority_high_40,5.0%,0.05,confident_learning,Cleanlab,10,-0.0117,0.0056,-0.0379,0.0126,70.0,0.9913,0.0064,0.6095
CelebA,minority_high_40,5.0%,0.05,uncertainty_diversity,Unc+Div-Lite,10,0.0636,0.0038,0.0379,0.082,0.0,0.1544,0.1448,0.6847
CelebA,minority_high_40,5.0%,0.05,badge_lite,BADGE-Lite,10,-0.0117,0.0056,-0.0379,0.0126,70.0,0.9913,0.0064,0.6095
CelebA,minority_high_40,5.0%,0.05,tracin_val_uncertainty,TracIn-CP (val),10,-0.0773,0.0059,-0.1104,-0.0473,100.0,0.9899,0.0051,0.5438
CelebA,minority_high_40,5.0%,0.05,tracin_noise_weighted,TracIn-CP (noise),10,-0.0413,0.0051,-0.0694,-0.0126,100.0,0.9561,0.0018,0.5798
CelebA,minority_high_40,5.0%,0.05,noise_score,NoiseScore,10,0.1145,0.0039,0.0978,0.1388,0.0,0.1745,0.0929,0.7833
CelebA,minority_high_40,5.0%,0.05,noise_score_budget_hybrid,BHC,10,0.1122,0.0032,0.0978,0.1262,0.0,0.1709,0.0929,0.781
CelebA,minority_high_40,5.0%,0.05,NGC,NGC,10,0.1145,0.0039,0.0978,0.1388,0.0,0.1745,0.0929,0.7833
