method,method_label,n_seeds,absolute_mean,absolute_low,absolute_high,negative_seeds,relative_mean,relative_low,relative_high,precision_mean,precision_low,precision_high,corrected_mean,corrected_low,corrected_high,minority_rate_mean,minority_rate_low,minority_rate_high
loss,Loss,10,0.05205047318611983,0.03433743607833217,0.06976351029390748,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tracin_val_uncertainty,TracIn-CP (val),10,-0.049211356466876924,-0.07405041772998051,-0.02437229520377333,10,-0.10126182965299675,-0.12546049706814247,-0.07706316223785104,0.002856791792099256,0.0020548657873246793,0.0036587177968738327,46.5,33.44705042028463,59.55294957971537,-0.00909258462861704,-0.010257577013563945,-0.007927592243670133
noise_score,NoiseScore,10,0.07728706624605672,0.06238446476983696,0.09218966772227648,0,0.025236593059936897,0.007152106779640975,0.04332107934023282,-0.894397001904528,-0.8992381483319289,-0.889555855477127,-14558.1,-14636.899340398806,-14479.300659601195,0.00853351354672238,0.006199989880135743,0.010867037213309018
