tau,n_seeds,absolute_mean,absolute_low,absolute_high,absolute_positive,vs_loss_mean,vs_loss_low,vs_loss_high,vs_loss_positive,vs_noise_mean,vs_noise_low,vs_noise_high,vs_noise_positive,precision_mean,precision_low,precision_high,validation_balanced_accuracy_mean
0.2,20,-5.709848657535001,-8.948517054520586,-2.5392891186770834,5/15/0,7.44305834732094,3.827093305979787,10.82651169778477,18/2/0,0.372875092387288,-1.7929208888520476,2.5406411677753127,11/9/0,36.979166666666664,34.885416666666664,39.041666666666664,0.7690881141761154
0.3,20,-5.341228560968699,-8.370581470045794,-2.20411011183179,6/14/0,7.811678443887241,4.20035392102009,11.304233410006145,18/2/0,0.7414951889535877,-1.733312697294345,3.186123170386327,12/8/0,37.15624999999999,35.03125,39.354166666666664,0.7700348137224088
0.35,20,-5.5903703089707175,-8.611465176036633,-2.4524998100448294,5/15/0,7.562536695885224,4.111435473955418,10.942112543257968,18/2/0,0.49235344095157096,-2.0083938599581423,3.021550327759012,11/9/0,37.42708333333332,35.354166666666664,39.55234375,0.7702639839147708
0.4,20,-5.833872115271702,-8.760844368001873,-2.8688903509680808,5/15/0,7.319034889584239,3.465954852836548,11.108385916378277,17/3/0,0.2488516346505846,-3.128107148531131,3.242182394954785,12/8/0,37.98958333333332,35.979166666666664,40.010416666666664,0.770468675708564
0.5,20,-4.601539673000805,-7.857272779078679,-1.4762575895724948,6/14/0,8.551367331855136,5.07636413715454,11.975140739512746,17/3/0,1.481184076921481,-0.4725096877136997,3.4702068266434543,13/7/0,39.76041666666667,37.89583333333334,41.604166666666664,0.7700624148796428
